,name,id
750,FV47 FERKINGSTAD,SN47220
964,FV472 SANDHORNØYA,SN80870
109,FV48 TYSSE VEST,SN50245
1333,FV50 VESTREDALEN,SN53990
1875,FV509 SUNDEKROSSEN,SN44563
1514,FV51 GOLSFJELLET,SN23300
1380,FV51 VALDRESFLYE,SN13760
1878,FV510 REGE,SN44545
521,FV520 ILSTAD,SN46820
1699,FV520 SVANDALSFOSSEN,SN46800
1764,FV53 BRENNBORG,SN54770
1586,FV53 NADDVIK,SN54740
1745,FV53 TYINOSEN,SN54815
301,FV542 BREMNES,SN48061
974,FV542 BØMLABRUA,SN48069
53,FV55 HERVAVATN,SN55260
43,FV55 INDRE HAFSLO,SN55520
1286,FV55 KONGSNES,SN55970
70,FV555 KROSSLEITET,SN50514
1224,FV569 FLERMOBERGET,SN120
972,FV57 MONGSTAD SØR,SN52555
796,FV57 SKODVIN,SN52415
1857,FV572 EDDEGJELET,SN49955
1370,FV580 HAUKELAND,SN50850
1887,FV5876 RUNDEBRUA,SN59815
726,FV60 KJELLSTADLIA,SN60247
1753,FV60 STRANDAFJELLET,SN60225
1810,FV60 UTVIKFJELLET,SN58350
472,FV609 HOLMEDAL VEST,SN57030
893,FV61 HAREIDSDALEN,SN59586
369,FV61 KVILEHYTTA,SN59530
805,FV614 GRYTADALEN,SN57789
1385,FV614 LANGESI,SN57830
1455,FV615 HYEN,SN58030
1844,FV62 EIDSØRA,SN63000
755,FV63 KORSMYRA,SN60310
157,FV63 TROLLSTIGEN,SN61310
1143,FV64 ISFJORDEN,SN61790
634,FV65 BYE,SN66175
465,FV65 NORDMARKA I SURNADAL,SN64970
458,FV65 ØVRE RINDAL,SN64590
44,FV650 LIABYGDA,SN60670
506,FV654 HERØYBRUA ,SN59820
580,FV658 GISKEBRUA,SN60980
684,FV659 LEPSØYBRUA,SN61025
1613,FV660 VISTDALSHEIA,SN61810
1076,FV7 GULLBOTN,SN50360
1808,FV7 KVAMSKOGEN,SN50311
869,FV7 ÅLVIK AUST,SN50040
209,FV700 VOLL,SN66630
1475,FV705 LANGSVOLA,SN11000
1656,FV710 KJØRMOEN,SN66045
1892,FV714 HITRA,SN65530
136,FV715 HOGSDALEN,SN71385
1278,FV715 MOMYR,SN71805
1775,FV72 INNSMOEN,SN70390
1923,FV74 SANDØLA,SN73210
39,FV755 MELTINGEN,SN71230
1608,FV76 ØSTERHOLTHEIA,SN35110
1722,FV770 RØRVIK,SN75190
1210,FV7862 KAPERSKARET,SN88430
1896,FV7940 ARNØYA,SN91728
1058,FV810 BUSTNESLIA,SN80000
732,FV812 HOGNDALEN,SN81340
1125,FV813 BEIARFJELLET,SN81420
1489,FV82 KJØLHÅGEN,SN87117
1203,FV835 ENGELØYBRUA,SN83280
1765,FV84 GUMPEN,SN89213
1557,FV848 FORNES,SN88023
293,FV86 ANDSVANNET,SN89233
820,FV862 SENJAHOPEN,SN88628
189,FV863 GAMNES,SN90630
1642,FV866 MAURSUND,SN91695
562,FV866 SKATTØRSUND,SN91715
1562,FV888 STORE REINOKSEVATN,SN96250
723,FV889 SELVIKHØYDEN,SN94430
231,FV890 GEDNJE,SN98265
1870,FV91 BREIVIKEIDET,SN91010
659,FV915 BØ,SN86810
196,FV98 IFJORDFJELLET,SN96650
654,FYRIEGG,SN31400
1979,Finnmark fylke,GF20
1357,FÅVANG,SN13150
759,FÆRDER FYR,SN27500
407,FØRDE LH - BRINGELAND,SN57000
566,G.O. SARS,SN77001
1228,GADDEDE,SN222200
1858,GADDEDE A,SN221900
767,GALATI,SN1531000
791,GALLIVARE,SN204900
274,GAMANJUNNI,SN91530
1374,GAMANJUNNI - 1100MOH,SN91528
1568,GAMVIK - SKJÅNES,SN96600
